date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-12-16,130.6153,133.0725,129.3008,130.0826,6782593,6782593,-1.4176,-1.078,131.0881,"Dec 16, 14",-0.17234354182546516
2014-12-17,130.1772,131.7133,129.8249,130.5294,5139465,5139465,0.446752,0.343,130.442,"Dec 17, 14",-0.1695007565066571
2014-12-18,131.947,135.4695,131.7064,135.4695,7302356,7302356,4.9401,3.785,134.0973,"Dec 18, 14",-0.13806914559921815
2014-12-19,135.3062,137.8149,135.3062,136.1826,8864850,8864850,0.713089,0.526,136.2861,"Dec 19, 14",-0.13353201442007306
2014-12-22,136.0279,139.1036,136.0279,138.6998,4682509,4682509,2.5173,1.848,138.2989,"Dec 22, 14",-0.11751621494714633
2014-12-23,139.3786,139.9542,138.8459,139.3872,4044220,4044220,0.687315,0.496,139.4648,"Dec 23, 14",-0.11314260118674199
2014-12-24,139.937,140.0315,138.8459,139.0263,1869977,1869977,-0.360843,-0.259,139.5213,"Dec 24, 14",-0.11543884384913651
2014-12-26,139.4129,140.1174,139.1895,139.4731,1912310,1912310,0.446756,0.321,139.7038,"Dec 26, 14",-0.11259605853032847
2014-12-29,139.181,139.4731,136.9901,137.9008,3331833,3331833,-1.5722,-1.127,137.877,"Dec 29, 14",-0.1225998887827051
2014-12-30,137.4799,138.1672,137.2823,137.5056,2829904,2829904,-0.395204,-0.287,137.6462,"Dec 30, 14",-0.1251143667549365
2014-12-31,137.8149,138.7514,137.7891,137.8407,4011909,4011909,0.335063,0.244,138.2409,"Dec 31, 14",-0.1229822777658304
2015-01-02,138.5882,140.3064,138.3218,139.2325,5525466,5525466,1.3918,1.01,139.4822,"Jan 2, 15",-0.11412688697192476
2015-01-05,138.5538,138.5538,136.7668,137.0417,4880389,4880389,-2.1908,-1.573,137.2164,"Jan 5, 15",-0.12806595160138917
2015-01-06,137.1792,137.4283,133.313,134.0862,6146712,6146712,-2.9554,-2.157,134.682,"Jan 6, 15",-0.14687045475657548
2015-01-07,135.0571,135.0571,132.3336,133.2099,4701839,4701839,-0.876324,-0.654,133.093,"Jan 7, 15",-0.15244595335745165
2015-01-08,134.2323,136.6413,133.6395,136.1052,4241113,4241113,2.8953,2.173,135.7785,"Jan 8, 15",-0.13402447543993828
2015-01-09,136.1052,137.7548,135.1,136.698,4488347,4488347,0.59281,0.436,136.3746,"Jan 9, 15",-0.13025275848159126
2015-01-12,136.6035,136.8183,133.8199,134.4041,4187638,4187638,-2.2939,-1.678,134.7909,"Jan 12, 15",-0.14484780154966162
2015-01-13,135.1086,137.4369,133.7512,134.722,4377510,4377510,0.317882,0.237,135.726,"Jan 13, 15",-0.1428251483427478
2015-01-14,133.0467,134.4471,132.0844,133.8543,4690294,4690294,-0.867733,-0.644,133.3508,"Jan 14, 15",-0.148345929052528
2015-01-15,134.6189,134.8595,132.4453,132.7975,4251723,4251723,-1.0567,-0.789,133.1933,"Jan 15, 15",-0.15506986711187515
2015-01-16,132.1532,135.4265,132.1532,135.0055,5756041,5756041,2.208,1.663,134.3037,"Jan 16, 15",-0.14102136670021848
2015-01-20,134.6275,135.1688,132.3336,134.8423,8392773,8392773,-0.163237,-0.121,133.9617,"Jan 20, 15",-0.14205973412194972
2015-01-21,131.4745,132.7374,129.7905,130.6669,11897123,11897123,-4.1754,-3.097,130.6758,"Jan 21, 15",-0.1686259065036668
2015-01-22,130.538,133.7855,130.3833,133.502,6120113,6120113,2.8352,2.17,132.4673,"Jan 22, 15",-0.15058745382382618
2015-01-23,133.1927,135.4007,133.0725,133.9144,4834847,4834847,0.412389,0.309,134.44,"Jan 23, 15",-0.14796354006940268
2015-01-26,135.9678,136.9987,133.8285,134.3354,7888143,7888143,0.420978,0.314,135.5105,"Jan 26, 15",-0.14528490842388306
2015-01-27,133.1154,133.2443,131.0964,132.0243,5659568,5659568,-2.3111,-1.72,132.1149,"Jan 27, 15",-0.15998938727414552
2015-01-28,132.3078,132.7632,130.2029,130.2029,4495933,4495933,-1.8214,-1.38,131.3819,"Jan 28, 15",-0.17157812760466712
2015-01-29,130.0569,133.6653,128.4589,133.5794,8320847,8320847,3.3764,2.593,131.3273,"Jan 29, 15",-0.15009499280396116
2015-01-30,132.2305,133.3732,131.483,131.715,6563570,6563570,-1.8643,-1.396,132.1228,"Jan 30, 15",-0.16195732258996323
2015-02-02,132.3078,132.8749,130.1686,132.8749,4712247,4712247,1.1598,0.881,131.4671,"Feb 2, 15",-0.15457740609201012
2015-02-03,132.9522,136.2599,132.9522,136.1482,5539406,5539406,3.2733,2.463,135.1073,"Feb 3, 15",-0.1337508859844576
2015-02-04,135.0657,136.3544,134.6275,134.8509,3678459,3678459,-1.2973,-0.953,135.3473,"Feb 4, 15",-0.1420050162308536
2015-02-05,135.1344,136.2513,135.0142,135.6671,5253637,5253637,0.816182,0.605,135.6248,"Feb 5, 15",-0.13681190661310252
2015-02-06,136.1256,136.7658,135.1653,135.5892,3256452,3256452,-0.077862,-0.057,135.8842,"Feb 6, 15",-0.13730754890570582
2015-02-09,134.9663,136.264,134.4472,134.75,3057726,3057726,-0.839214,-0.619,135.1654,"Feb 9, 15",-0.1426469970694116
2015-02-10,135.6065,137.1811,134.1703,137.1811,4440614,4440614,2.4311,1.804,136.0387,"Feb 10, 15",-0.12717901276199386
2015-02-11,136.489,137.6397,135.9785,136.8697,3626658,3626658,-0.311461,-0.227,136.8258,"Feb 11, 15",-0.1291603094233117
2015-02-12,137.3195,137.9944,136.7745,137.1465,3333063,3333063,0.276852,0.202,137.2343,"Feb 12, 15",-0.1273991568354735
2015-02-13,137.3714,139.1191,137.2503,138.773,3706919,3706919,1.6265,1.186,138.6479,"Feb 13, 15",-0.1170504766182817
2015-02-17,138.2107,139.6468,138.1934,139.2575,2894508,2894508,0.484494,0.349,139.1414,"Feb 17, 15",-0.11396782333501738
2015-02-18,140.0362,140.5639,138.9807,140.3217,4358385,4358385,1.0642,0.764,140.1555,"Feb 18, 15",-0.10719680243914553
2015-02-19,140.2005,142.3116,139.6728,141.7925,3504380,3504380,1.4708,1.048,141.347,"Feb 19, 15",-0.09783877055261264
2015-02-20,141.5762,142.1818,140.2352,141.5848,3352982,3352982,-0.20764,-0.146,141.401,"Feb 20, 15",-0.09916027124803879
2015-02-23,142.0866,142.2337,140.5899,140.9446,2714434,2714434,-0.640224,-0.452,141.0953,"Feb 23, 15",-0.10323357286196203
2015-02-24,140.5812,142.7441,139.7334,142.6057,4701626,4701626,1.6611,1.179,141.642,"Feb 24, 15",-0.09266474857129038
2015-02-25,142.7009,142.7182,140.6591,140.8581,4004559,4004559,-1.7476,-1.226,141.1902,"Feb 25, 15",-0.10378393304566146
2015-02-26,141.6627,142.0087,138.228,139.1797,7110772,7110772,-1.6784,-1.192,139.5213,"Feb 26, 15",-0.11446282937307302
2015-02-27,139.3354,140.4082,138.5654,140.1054,4410037,4410037,0.92573,0.665,139.9142,"Feb 27, 15",-0.10857302102566782
2015-03-02,139.8804,140.0621,138.2627,138.8422,5917862,5917862,-1.2631,-0.902,138.7981,"Mar 2, 15",-0.11661018847132221
2015-03-03,138.6606,139.941,138.427,139.3181,3234401,3234401,0.475845,0.343,139.2612,"Mar 3, 15",-0.11358225307915402
2015-03-04,138.8941,138.9114,137.3195,137.9252,3633635,3633635,-1.3929,-1,137.9665,"Mar 4, 15",-0.12244464267308362
2015-03-05,138.3058,139.7247,138.17,139.4479,3791660,3791660,1.5227,1.104,139.2696,"Mar 5, 15",-0.11275639467633097
2015-03-06,138.5913,139.6728,136.7485,137.1292,4540174,4540174,-2.3186,-1.663,137.7736,"Mar 6, 15",-0.12750922887221344
2015-03-09,136.8697,139.4219,136.8697,139.0931,5193874,5193874,1.9639,1.432,138.6869,"Mar 9, 15",-0.11501382581132008
2015-03-10,138.0809,138.6259,136.5322,136.5322,4600968,4600968,-2.5609,-1.841,137.3286,"Mar 10, 15",-0.13130766852156087
2015-03-11,137.1898,137.6829,134.91,135.6584,5709890,5709890,-0.873821,-0.64,135.878,"Mar 11, 15",-0.13686726075874633
2015-03-12,135.1999,137.3195,135.1999,136.6793,4567346,4567346,1.0209,0.753,136.1448,"Mar 12, 15",-0.13037173808199792
2015-03-13,136.2294,136.2813,132.7168,133.4782,6064120,6064120,-3.2011,-2.342,133.612,"Mar 13, 15",-0.15073888240616212
2015-03-16,134.1444,135.9093,133.9281,135.9007,3749638,3749638,2.4225,1.815,135.2168,"Mar 16, 15",-0.13532561598984033
2015-03-17,135.1393,136.0823,134.4212,135.7968,3311943,3311943,-0.103822,-0.076,135.49,"Mar 17, 15",-0.1359866844648273
2015-03-18,135.7017,139.0326,134.7932,138.2626,5738827,5738827,2.4657,1.816,137.4923,"Mar 18, 15",-0.12029791982938208
2015-03-19,138.1674,139.2229,137.3974,138.2626,3878559,3878559,0,0,138.5481,"Mar 19, 15",-0.12029791982938208
2015-03-20,139.2489,141.0225,138.7298,140.9186,9006417,9006417,2.6561,1.921,140.3185,"Mar 20, 15",-0.10339899904434574
2015-03-23,140.8235,143.0556,140.7889,142.4327,5930127,5930127,1.514,1.074,142.5138,"Mar 23, 15",-0.09376546893868923
2015-03-24,142.5711,142.6576,140.9359,141.0225,4346145,4346145,-1.4102,-0.99,141.3626,"Mar 24, 15",-0.10273793056935875
2015-03-25,141.0917,141.0917,137.7348,137.7348,5428930,5428930,-3.2876,-2.331,138.5487,"Mar 25, 15",-0.12365607133176985
2015-03-26,137.7954,139.5084,137.4839,138.9374,4396024,4396024,1.2026,0.873,138.8875,"Mar 26, 15",-0.11600447414197901
2015-03-27,139.1104,139.2056,137.7608,138.773,3477923,3477923,-0.164383,-0.118,138.5062,"Mar 27, 15",-0.1170504766182817
2015-03-30,139.5603,141.5416,139.5084,140.737,4138018,4138018,1.9639,1.415,140.7755,"Mar 30, 15",-0.10455443730284071
2015-03-31,139.3613,140.4428,138.773,138.8595,4255368,4255368,-1.8774,-1.334,139.5381,"Mar 31, 15",-0.11650011643458229
